model_year,brand,model,type,miles_per_gallon,premium_version,msrp,collection_car
2016,Toyota,Land Cruiser Base,SUV,13.0,1,84900.0,0
2014,RAM,ProMaster 2500 Window Van High Roof,Van,15.0,0,35000.0,0
2002,Ford,Mustang GT,Coupe,16.0,0,26250.0,0
2012,BMW,428 Gran Coupe i xDrive,Sedan,27.0,1,45000.0,0
2008,Mercedes-Benz,SL-Class SL500 Roadster,Convertible,18.0,1,100000.0,1
2008,Lexus,RX 350 Base,SUV,18.0,0,38000.0,0
2013,Chevrolet,Express 2500 Work Van,Van,12.0,0,30000.0,0
2021,Mercedes-Benz,AMG G 63 Base,SUV,13.0,1,157000.0,1
2014,Ford,F-150 XLT,Pickup,17.0,0,31000.0,0
2017,Ford,Fusion SE,Sedan,23.0,0,23000.0,0
2016,Audi,A7 3.0T Premium Plus,Sedan,25.0,1,68900.0,0
2019,Chevrolet,Impala 1LT,Sedan,28.0,0,33995.0,0
2020,Lexus,LC 500 Base,Coupe,19.0,0,92600.0,0
2013,Audi,S3 2.0T Premium Plus,Sedan,22.0,1,39400.0,0
2023,Porsche,911 Carrera S,Coupe,22.0,1,116000.0,1
2018,Ford,Transit Connect XL,Minivan,24.0,0,23460.0,0
2018,Audi,A6 2.0T Premium Plus,Sedan,25.0,1,62000.0,0
2017,Genesis,G80 3.3T Sport,Sedan,20.0,1,60500.0,0
2021,Ford,F-250 Lariat,Pickup,20.0,1,55000.0,0
2004,Hummer,H2 Base,SUV,10.0,0,50000.0,0
2022,Mazda,RX 350 Base,SUV,25.0,0,45000.0,0
2020,Land,Rover Defender SE,SUV,17.0,1,57900.0,0
2016,Mercedes-Benz,G-Class G 550 4MATIC,SUV,13.0,1,123600.0,1
2008,Honda,Pilot EX-L,SUV,18.0,0,32000.0,0
2022,Ford,Expedition Limited,SUV,20.0,1,67535.0,0
2015,Land,Rover LR2 Base,SUV,22.0,0,36450.0,0
2016,Ford,F-150 Lariat,Pickup,18.0,1,40000.0,0
2009,Toyota,FJ Cruiser Base,SUV,17.0,0,24000.0,0
2014,Jeep,Wrangler Sport,SUV,21.0,0,23945.0,0
2013,Porsche,911 Carrera S,Coupe,20.0,1,100000.0,1
2011,BMW,M3 Base,Coupe,14.0,1,61900.0,1
2018,Chevrolet,Colorado Z71,Pickup,20.0,1,35000.0,0
2022,Jaguar,F-PACE S,SUV,21.0,1,75000.0,0
2018,RAM,3500 Tradesman,Pickup,12.0,0,35000.0,0
2016,Mercedes-Benz,S-Class S 63 AMG,Sedan,19.0,1,143000.0,1
2020,Mercedes-Benz,AMG C 43 Base 4MATIC,Sedan,20.0,1,84000.0,0
2021,Porsche,911 Carrera,Coupe,20.0,0,99900.0,1
2017,BMW,740 i,Sedan,22.0,1,83000.0,0
2020,Ford,Bronco Outer Banks Advanced,SUV,21.0,1,45000.0,0
2012,Lexus,LS 460 Crafted Line,Sedan,16.0,1,71900.0,0
2018,Ford,F-150 XL,Pickup,20.0,0,28740.0,0
2016,Lincoln,MKX Reserve,SUV,21.0,1,49000.0,0
2019,Nissan,Rogue SV,SUV,26.0,0,28500.0,0
2018,Ford,F-150 XLT,Pickup,20.0,0,35000.0,0
2014,BMW,535 i xDrive,Sedan,20.0,1,60000.0,0
2008,Saturn,Sky Red Line,Convertible,22.0,1,28100.0,0
2018,Cadillac,XTS Luxury,Sedan,18.0,1,60000.0,0
2016,Audi,A6 2.0T Sport,Sedan,25.0,0,52500.0,0
2019,Kia,Stinger GT2,Sedan,20.0,1,52000.0,0
2018,Land,Rover Range Rover Supercharged LWB,SUV,18.0,1,130000.0,0
2016,Land,Rover Range Rover Sport Supercharged,SUV,22.0,1,85000.0,0
2022,Land,Rover Range Rover P525 Westminster,SUV,18.0,1,104000.0,0
2018,Toyota,Sequoia Platinum,SUV,13.0,1,62800.0,0
2018,Mercedes-Benz,GLC 300 GLC 300,SUV,25.0,0,40000.0,0
2022,Mercedes-Benz,AMG G 63 4MATIC,SUV,13.0,1,157900.0,1
2015,Mercedes-Benz,C-Class C 300 4MATIC Sport,Sedan,24.0,1,39000.0,0
2010,Chevrolet,Camaro 2SS,Coupe,16.0,1,31895.0,0
2019,Ford,F-250 Platinum,Pickup,17.0,1,72000.0,0
2013,Toyota,Tacoma Base,Pickup,21.0,0,22000.0,0
2015,Cadillac,Escalade ESV Luxury,SUV,16.0,1,80000.0,0
2021,Chevrolet,Corvette Stingray w/2LT,Coupe,17.0,1,65000.0,1
2016,Lexus,GX 460 Premium,SUV,15.0,1,55000.0,0
2020,Lincoln,Navigator Reserve,SUV,18.0,1,82995.0,0
2017,Chevrolet,Suburban LT,SUV,22.0,1,60000.0,0
2020,Land,Rover Range Rover 5.0L Supercharged,SUV,18.0,1,100000.0,0
2017,Mercedes-Benz,C-Class C 300 4MATIC Sport,Sedan,25.0,1,40000.0,0
2021,Mercedes-Benz,E-Class E 400,Sedan,22.0,1,62700.0,0
2022,Ford,F-150 Lariat,Pickup,20.0,1,45000.0,0
2018,Nissan,Armada Platinum,SUV,14.0,1,61000.0,0
2016,Land,Rover Range Rover Evoque R-Dynamic HSE,SUV,24.0,1,52000.0,0
2020,Toyota,GR86 Base,Coupe,24.0,0,29000.0,0
2019,Audi,A3 2.0T Tech Premium,Sedan,29.0,0,36300.0,0
2014,Audi,S5 3.0T Premium Plus,Coupe,18.0,1,61000.0,0
2014,Ford,F-150 Lariat,Pickup,18.0,1,45000.0,0
2013,Lexus,LS 460 Base,Sedan,19.0,0,72000.0,0
2020,Mercedes-Benz,AMG CLA 45 Base 4MATIC,Sedan,24.0,1,55000.0,0
2014,Mercedes-Benz,SL-Class SL 550,Convertible,19.0,1,104000.0,0
2021,Ford,F-150 Platinum,Pickup,20.0,1,59745.0,0
2020,Maserati,MC20 Base,Coupe,24.0,0,210000.0,1
2022,Lincoln,Navigator Reserve,SUV,18.0,1,83960.0,0
2021,Land,Rover Defender X,SUV,17.0,1,85000.0,1
2023,Chevrolet,Corvette Stingray w/1LT,Coupe,15.0,0,63900.0,1
2011,BMW,740 i,Sedan,20.0,1,80000.0,0
2015,Volkswagen,Golf GTI 2.0T SE 4-Door,Hatchback,25.0,0,28900.0,0
2022,Dodge,Challenger SRT Demon,Coupe,13.0,1,84995.0,1
2008,Volkswagen,Jetta GLX VR6,Sedan,22.0,1,25000.0,0
2021,Dodge,Durango R/T,SUV,14.0,1,63490.0,0
2019,Mercedes-Benz,AMG G 63 Base,SUV,13.0,1,156450.0,1
2016,Cadillac,Escalade ESV Platinum,SUV,17.0,1,90000.0,0
2011,RAM,2500 SLT,Pickup,11.0,0,35000.0,0
2001,Dodge,Dakota SLT Quad Cab,Pickup,15.0,0,25000.0,0
2020,Lexus,NX 350 F SPORT Handling,SUV,24.0,1,41000.0,0
2015,Subaru,Outback 2.5i Limited,SUV,26.0,0,31995.0,0
2007,Volkswagen,GTI Base,Hatchback,24.0,0,23000.0,0
2017,Jeep,Wrangler Unlimited Sahara,SUV,18.0,1,38000.0,0
2014,Lexus,RX 350 F Sport,SUV,24.0,1,45900.0,0
2021,Ford,Expedition Timberline,SUV,17.0,1,70155.0,0
2023,Land,Rover Defender X,SUV,18.0,1,82000.0,0
2014,Chevrolet,Suburban 1500 LTZ,SUV,16.0,1,60940.0,0
2012,BMW,328 i,Sedan,22.0,0,35000.0,0
2007,BMW,M3 Base,Coupe,16.0,1,57900.0,1
2016,Audi,A5 2.0T Premium Plus,Coupe,26.0,1,49000.0,0
2017,Chevrolet,Camaro 2SS,Coupe,18.0,1,42995.0,0
2005,Ford,Excursion Limited,SUV,12.0,1,58270.0,0
2018,Chrysler,200 Limited,Sedan,23.0,0,25000.0,0
2013,Audi,allroad 2.0T Prestige,SUV,20.0,1,45000.0,0
2023,Maserati,GranTurismo Sport,Coupe,20.0,1,215000.0,1
2018,Toyota,Tacoma TRD Sport,Pickup,21.0,0,33500.0,0
2014,Hyundai,Accent GL,Sedan,29.0,0,15000.0,0
2020,Maserati,Ghibli S GranLusso,Sedan,20.0,1,103000.0,0
2018,BMW,M4 Base,Coupe,20.0,1,68800.0,1
2022,RAM,1500 Laramie,Pickup,22.0,1,45000.0,0
2009,Ford,Flex SEL,SUV,20.0,0,30000.0,0
2012,Lexus,LS 460 Base,Sedan,19.0,0,66500.0,0
2010,Mitsubishi,Lancer DE,Sedan,26.0,0,17999.0,0
2000,Jaguar,XJ8 L,Sedan,18.0,0,60000.0,0
2017,Lexus,GX 460 Base,SUV,15.0,0,52905.0,0
2004,Ford,F-250 XLT Super Duty,Pickup,15.0,0,29500.0,0
2021,Mercedes-Benz,GLC 300 GLC 300,SUV,24.0,0,43000.0,0
2008,Honda,Civic EX,Sedan,30.0,0,19000.0,0
2014,BMW,M6 Base,Coupe,18.0,1,113000.0,1
2017,Mazda,Mazda6 Signature,Sedan,26.0,1,35000.0,0
2020,Mercedes-Benz,AMG GT 63 S 4-Door,Sedan,15.0,1,162900.0,1
2021,BMW,M4 Competition xDrive,Coupe,16.0,1,73800.0,1
